"sourceClassName","targetClassName","relationType","description"
"DWD_PURCHASE_ORDER","DWD_PURCHASE_ORDER_LINE","CONTAINS","采购订单头含行，键 PO_NO"
"DWD_GOODS_RECEIPT","DWD_GOODS_RECEIPT_LINE","CONTAINS","收货单头含行，键 RECEIPT_NO"
"DWD_ARRIVAL_NOTICE","DWD_ARRIVAL_NOTICE_LINE","CONTAINS","到货通知头含行，键 ARRIVAL_NOTICE_NO"
"DWD_QUOTATION","DWD_QUOTATION_LINE","CONTAINS","报价单头含行，键 QUOTATION_NO"
"DWD_BOM","DWD_BOM_DETAIL","CONTAINS","BOM 头含组成明细，键 MATERIAL_CODE"
"DWD_PURCHASE_INVOICE","DWD_PURCHASE_INVOICE_LINE","CONTAINS","采购发票头含行，键 INVOICE_NO"
"DWD_SUPPLIER_PAYMENT","DWD_SUPPLIER_PAYMENT_LINE","CONTAINS","供应商付款单头含行，键 PAYMENT_NO"
"DWD_SUPPLIER_PRICE_LIST_HEADER","DWD_SUPPLIER_PRICE_LIST","CONTAINS","价格表记录含材料价格行，键 PRICE_LIST_CODE/PRICE_LIST_RECORD"
"DWD_PURCHASE_REQUISITION_LINE","DWD_QUOTATION_LINE","GENERATES","请购行产生报价应询，报价行可经 REQUISITION_NO/REQUISITION_LINE_NO 溯源"
"DWD_PURCHASE_REQUISITION_LINE","DWD_PURCHASE_ORDER_LINE","GENERATES","请购行转采购行，经 DWD_REQUISITION_ORDER_LINK 桥接"
"DWD_QUOTATION","DWD_PURCHASE_ORDER","GENERATES","报价被采购买成采购订单，采购行可经 QUOTATION_NO 溯源"
"DWD_PURCHASE_ORDER","DWD_ARRIVAL_NOTICE","GENERATES","采购单驱动供应商到货，ASN 行可经 PO_NO 溯源"
"DWD_PURCHASE_ORDER_LINE","DWD_ARRIVAL_NOTICE_LINE","GENERATES","采购行产生到货通知行，键 PO_NO/PO_LINE_NO"
"DWD_ARRIVAL_NOTICE","DWD_GOODS_RECEIPT","GENERATES","到货通知驱动收货生成，GR 行可经 ARRIVAL_NOTICE_NO 溯源"
"DWD_ARRIVAL_NOTICE_LINE","DWD_GOODS_RECEIPT_LINE","GENERATES","ASN 行产生收货行，键 ARRIVAL_NOTICE_NO/ARRIVAL_NOTICE_LINE_NO"
"DWD_GOODS_RECEIPT_LINE","DWD_PURCHASE_INVOICE_LINE","GENERATES","收货行参与三单匹配生成发票行，可经 RECEIPT_NO/PO_NO 溯源"
"DWD_PURCHASE_INVOICE","DWD_SUPPLIER_PAYMENT","GENERATES","发票驱动付款，付款行可经 LINKED_INVOICE_NO 溯源"
"DWS_SUPPLIER_PURCHASE_MONTHLY","DWD_PURCHASE_ORDER_LINE","GENERATED","采购月度由采购行聚合：ORDER_QTY/ORDER_AMOUNT/ORDER_LINE_COUNT"
"DWS_SUPPLIER_DELIVERY_MONTHLY","DWD_GOODS_RECEIPT_LINE","GENERATED","到货月度由收货行聚合：RECEIVED_QTY/ON_TIME_RATE（含 ASN 计划日期比对）"
"DWS_SUPPLIER_QUALITY_MONTHLY","DWD_GOODS_RECEIPT_LINE","GENERATED","质量月度由收货行聚合：REJECTED_QTY/REJECT_RATE"
"DWS_SUPPLIER_QUALITY_MONTHLY","DWD_ARRIVAL_NOTICE_LINE","GENERATED","质量月度亦参考 ASN 行 REJECTED_QTY（退货/拒收）"
"DWS_SUPPLIER_PAYMENT_MONTHLY","DWD_SUPPLIER_PAYMENT","GENERATED","付款月度由付款单聚合：PAYMENT_AMOUNT/PAYMENT_COUNT"
"DWS_MATERIAL_PRICE_MONTHLY","DWD_PURCHASE_ORDER_LINE","GENERATED","物料价格月度由采购实际价聚合：AVG/MIN/MAX_NET_UNIT_PRICE"
"ADS_SUPPLIER_360","DWS_SUPPLIER_PURCHASE_MONTHLY","GENERATED","360 视图聚合采购月度：ORDER_AMOUNT_12M/TOTAL_PO_COUNT"
"ADS_SUPPLIER_360","DWS_SUPPLIER_DELIVERY_MONTHLY","GENERATED","360 视图聚合到货月度：OTD_RATE_12M/AVG_DELAY_DAYS_12M"
"ADS_SUPPLIER_360","DWS_SUPPLIER_QUALITY_MONTHLY","GENERATED","360 视图聚合质量月度：REJECT_RATE_12M"
"ADS_SUPPLIER_360","DWS_SUPPLIER_PAYMENT_MONTHLY","GENERATED","360 视图聚合付款月度：PAYMENT_AMOUNT_12M"
"ADS_SUPPLIER_ORDER_DETAIL","DWD_PURCHASE_ORDER_LINE","GENERATED","供应商订单明细由采购行派生：PO_NO/物料/单价/金额"
"ADS_SUPPLIER_ORDER_DETAIL","DWD_GOODS_RECEIPT_LINE","GENERATED","供应商订单明细补充收货交付/质量：RECEIVED_QTY/REJECTED_QTY/DELAY_DAYS"
"DWD_SUPPLIER","DWD_MATERIAL","SUPPLIES","供应商供应物料主数据"
"DWD_SUPPLIER","DWS_SUPPLIER_QUALITY_MONTHLY","INSPECTED_BY","供应商被其月度质量档案评估（REJECT_RATE）"
