source_table,source_columns,target_table,target_columns
PORDERQ,ITMREFORI_0,ITMMASTER,ITMREF_0
PPRICLIST,PLICRI2_0,ITMMASTER,ITMREF_0
PORDER,INVFCY_0,FACILITY,FCY_0
PRECEIPT,PRHFCY_0,FACILITY,FCY_0
PREQUISD,ITMREF_0,ITMMASTER,ITMREF_0
PORDERQ,BPSNUM_0,BPSUPPLIER,BPSNUM_0
PREQUISD,BPSNUM_0,BPARTNER,BPRNUM_0
ROUOPE,ITMREF_0,ITMMASTER,ITMREF_0
YPRECEIPT,BPSNUM_0,BPARTNER,BPRNUM_0
ROUOPE,FCY_0,FACILITY,FCY_0
PORDER,SALFCY_0,FACILITY,FCY_0
PORDERQ,PRHFCY_0,FACILITY,FCY_0
PORDERQ,POHFCY_0,FACILITY,FCY_0
PORDER,BPRPAY_0,BPARTNER,BPRNUM_0
PORDER,RCPFCY_0,FACILITY,FCY_0
BPARTNER,FCY_0,FACILITY,FCY_0
PORDER,STOFCY_0,FACILITY,FCY_0
PRECEIPTD,BPSNUM_0,BPSUPPLIER,BPSNUM_0
BPSUPPLIER,BPTNUM_0,BPARTNER,BPRNUM_0
PORDER,BPCORD_0,BPARTNER,BPRNUM_0
YPRECEIPTD,YPTHNUM_0,YPRECEIPT,YPTHNUM_0
PORDER,BPSNUM_0,BPARTNER,BPRNUM_0
PORDERQ,POHNUM_0,PORDER,POHNUM_0
PRECEIPTD,YPTHNUM_0,YPRECEIPT,YPTHNUM_0
PPRICLIST,PLI_0,PPRICCONF,PLI_0
PPRICLIST,CPNITMREF_0,ITMMASTER,ITMREF_0
PRECEIPT,BPSNUM_0,BPARTNER,BPRNUM_0
PORDER,BPTNUM_0,BPCARRIER,BCRNUM_0
YPRECEIPTD,BPSNUM_0,BPSUPPLIER,BPSNUM_0
PREQUISD,BPSNUM_0,BPSUPPLIER,BPSNUM_0
YPRECEIPT,BPSNUM_0,BPSUPPLIER,BPSNUM_0
PRECEIPTD,BPSNUM_0,BPARTNER,BPRNUM_0
BOM,ITMREF_0,ITMMASTER,ITMREF_0
PORDER,BPSNUM_0,BPSUPPLIER,BPSNUM_0
PREQUISD,PRHFCY_0,FACILITY,FCY_0
PORDERQ,BPSINV_0,BPARTNER,BPRNUM_0
YPRECEIPT,PRHFCY_0,FACILITY,FCY_0
YPRECEIPTD,BPSNUM_0,BPARTNER,BPRNUM_0
PRECEIPT,BPTNUM_0,BPARTNER,BPRNUM_0
PORDERQ,ITMREF_0,ITMMASTER,ITMREF_0
PRECEIPTD,LINSTOFCY_0,FACILITY,FCY_0
PORDER,ORIFCY_0,FACILITY,FCY_0
PORDER,POHFCY_0,FACILITY,FCY_0
PRECEIPTD,ITMREF_0,ITMMASTER,ITMREF_0
ITMFACILIT,ITMREF_0,ITMMASTER,ITMREF_0
PRECEIPT,BPSNUM_0,BPSUPPLIER,BPSNUM_0
PPRICLIST,FOCITMREF_0,ITMMASTER,ITMREF_0
ROUOPE,BPRNUM_0,BPARTNER,BPRNUM_0
FACILITY,BPTNUM_0,BPARTNER,BPRNUM_0
PRECEIPTD,PTHNUM_0,PRECEIPT,PTHNUM_0
PORDERQ,LINSTOFCY_0,FACILITY,FCY_0
ITMFACILIT,STOFCY_0,FACILITY,FCY_0
PORDERQ,BPSNUM_0,BPARTNER,BPRNUM_0
BOMD,ITMREF_0,ITMMASTER,ITMREF_0
PPRICFICH,PLI_0,PPRICCONF,PLI_0
PRECEIPT,BPTNUM_0,BPCARRIER,BCRNUM_0
PORDER,FFWNUM_0,BPCARRIER,BCRNUM_0
YPRECEIPTD,ITMREF_0,ITMMASTER,ITMREF_0
BOMD,CPNITMREF_0,ITMMASTER,ITMREF_0
PRECEIPTD,ITMREFORI_0,ITMMASTER,ITMREF_0
